"Submitting country","Film title used in nomination","Original title","Language(s)","Director(s)","Result","Result [6]","Title used in nomination","Ceremony"
"Denmark","Qivitoq","Qivitoq","Danish","Erik Balling","Nominated",NA,NA,"/w"
"France","Gervaise","Gervaise","French","René Clément","Nominated",NA,NA,"/w"
"West Germany","The Captain of Köpenick","Der Hauptmann von Köpenick","German","Helmut Käutner","Nominated",NA,NA,"/w"
"Italy","La Strada","La strada","Italian","Federico Fellini","Won Academy Award",NA,NA,"/w"
"Japan","The Burmese Harp","ビルマの竪琴 (Biruma no tategoto)","Japanese","Kon Ichikawa","Nominated",NA,NA,"/w"
"Philippines","Anak dalita","Anak dalita","Tagalog","Lamberto V. Avellana","Not nominated",NA,NA,"/w"
"Spain","Afternoon of the Bulls","Tarde de toros","Spanish","Ladislao Vajda","Not nominated",NA,NA,"/w"
"Sweden","The Staffan Stolle Story","Ratataa","Swedish","Hasse Ekman","Not nominated",NA,NA,"/w"
"Denmark","No Time for Tenderness","Ingen tid til kærtegn","Danish","Annelise Hovmand","Not nominated",NA,NA,"/w"
"France","Gates of Paris","Porte des Lilas","French","René Clair","Nominated",NA,NA,"/w"
"West Germany","The Devil Strikes at Night","Nachts, wenn der Teufel kam","German","Robert Siodmak","Nominated",NA,NA,"/w"
"Greece","The Lagoon of Desire","Η λίμνη των πόθων (I limni ton pothon)","Greek","Giorgos Zervos","Not nominated",NA,NA,"/w"
"India","Mother India","भारत माता","Hindi","Mehboob Khan","Nominated",NA,NA,"/w"
"Italy","Nights of Cabiria","Le Notti di Cabiria","Italian","Federico Fellini","Won Academy Award",NA,NA,"/w"
"Japan","Arakure","あらくれ (Arakure)","Japanese","Mikio Naruse","Not nominated",NA,NA,"/w"
"Mexico","Torero!","Torero","Spanish","Carlos Velo","Not nominated",NA,NA,"/w"
"Norway","Nine Lives","Ni Liv","Norwegian","Arne Skouen","Nominated",NA,NA,"/w"
"Spain","High Street","Calle Mayor","Spanish","Juan Antonio Bardem","Not nominated",NA,NA,"/w"
