"TheatreID","Title","IMDB"
"f-0100000036","12 MONKEYS (1995)",""
"f-0100000656","APOCALYPSE NOW: THE FINAL CUT",""
"f-0100000802","BLACK NARCISSUS",""
"f-0100000074","BLADE RUNNER - THE FINAL CUT",""
"f-0100001817","BLADE RUNNER 2049",""
"f-0100000118","CASABLANCA",""
"f-0100002054","Count Gore de Vol presents CREEPSHOW (1982)",""
"f-0100003605","DIRTY DANCING",""
"f-0100001053","DISCREET CHARM OF THE BOURGEOISIE, THE",""
"f-0100003607","DUNE (1984)",""
"f-0100003518","ELVIS (2022)",""
"f-0100003610","EXECUTIONERS",""
"f-0100003609","GIANT (1956)",""
"f-0100001483","GODFATHER, THE",""
"f-0100000083","GOONIES, THE",""
"f-0100000827","GREASE SING-A-LONG",""
"f-0100003611","HEROIC TRIO, THE",""
"f-0100000080","INDIANA JONES AND THE TEMPLE OF DOOM",""
"f-0100000016","LAWRENCE OF ARABIA",""
"f-0100000052","LOST HIGHWAY",""
"f-0100001309","MULHOLLAND DR.",""
"f-0100003359","NEPTUNE FROST",""
"f-0100003608","PANDA! GO PANDA!",""
"f-0100000692","PHANTOM OF THE PARADISE with live shadowcast",""
"f-0100003606","ROBOCOP - Director's Cut",""
"f-0100003543","THE LOST RECORD",""
"f-0100001039","THING, THE (1982)",""
"f-0100003612","TOP OF THE HEAP (1972)",""
"f-0100000062","TRON (1982)",""
"f-0100001307","TWIN PEAKS: FIRE WALK WITH ME",""
