"ItemTitle","IMDBid","ItemYear","ItemRuntime","Rating","Rated.Date","Decade","Seen","Service","Type"
"Citizen Kane","tt0033467",1941,"119 min","8","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"The Godfather","tt0068646",1972,"175 min","8","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"Casablanca","tt0034583",1942,"102 min","9","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"Raging Bull","tt0081398",1980,"129 min",NA,NA,"1980s","No",NA,NA
"Singin' in the Rain","tt0045152",1952,"103 min","6","Rated on 04 Nov 2021","1950s","Yes",NA,NA
"Gone with the Wind","tt0031381",1939,"238 min",NA,NA,"1930s","No",NA,NA
"Lawrence of Arabia","tt0056172",1962,"228 min","9","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Schindler's List","tt0108052",1993,"195 min","8","Rated on 09 Jul 2021","1990s","Yes",NA,NA
"Vertigo","tt0052357",1958,"128 min","8","Rated on 09 Jul 2021","1950s","Yes",NA,NA
"The Wizard of Oz","tt0032138",1939,"102 min","10","Rated on 09 Jul 2021","1930s","Yes",NA,NA
"City Lights","tt0021749",1931,"87 min",NA,NA,"1930s","No",NA,NA
"The Searchers","tt0049730",1956,"119 min",NA,NA,"1950s","No",NA,NA
"Star Wars: Episode IV - A New Hope","tt0076759",1977,"121 min","8","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"Psycho","tt0054215",1960,"109 min","8","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"2001: A Space Odyssey","tt0062622",1968,"149 min","10","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Sunset Blvd.","tt0043014",1950,"110 min","8","Rated on 09 Jul 2021","1950s","Yes",NA,NA
"The Graduate","tt0061722",1967,"106 min","8","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"The General","tt0017925",1926,"67 min",NA,NA,"1920s","No","Prime","Feature Film"
"On the Waterfront","tt0047296",1954,"108 min",NA,NA,"1950s","No",NA,NA
"It's a Wonderful Life","tt0038650",1946,"130 min","8","Rated on 09 Jul 2021","1940s","Yes","Prime","Feature Film"
"Chinatown","tt0071315",1974,"130 min","8","Rated on 13 Jan 2022","1970s","Yes",NA,NA
"Some Like It Hot","tt0053291",1959,"121 min","8","Rated on 09 Jul 2021","1950s","Yes",NA,NA
"The Grapes of Wrath","tt0032551",1940,"129 min",NA,NA,"1940s","No",NA,NA
"E.T. the Extra-Terrestrial","tt0083866",1982,"115 min","8","Rated on 09 Jul 2021","1980s","Yes",NA,NA
"To Kill a Mockingbird","tt0056592",1962,"129 min","8","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"Mr. Smith Goes to Washington","tt0031679",1939,"129 min",NA,NA,"1930s","No",NA,NA
"High Noon","tt0044706",1952,"85 min",NA,NA,"1950s","No",NA,NA
"All About Eve","tt0042192",1950,"138 min",NA,NA,"1950s","No",NA,NA
"Double Indemnity","tt0036775",1944,"107 min",NA,NA,"1940s","No",NA,NA
"Apocalypse Now","tt0078788",1979,"147 min","9","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"The Maltese Falcon","tt0033870",1941,"100 min","8","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"The Godfather: Part II","tt0071562",1974,"202 min","9","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"One Flew Over the Cuckoo's Nest","tt0073486",1975,"133 min",NA,NA,"1970s","No",NA,NA
"Snow White and the Seven Dwarfs","tt0029583",1937,"83 min","7","Rated on 09 Jul 2021","1930s","Yes",NA,NA
"Annie Hall","tt0075686",1977,"93 min",NA,NA,"1970s","No",NA,NA
"The Bridge on the River Kwai","tt0050212",1957,"161 min","7","Rated on 16 Sep 2021","1950s","Yes",NA,NA
"The Best Years of Our Lives","tt0036868",1946,"170 min",NA,NA,"1940s","No","Prime","Feature Film"
"The Treasure of the Sierra Madre","tt0040897",1948,"126 min",NA,NA,"1940s","No",NA,NA
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","tt0057012",1964,"95 min","8","Rated on 19 Sep 2021","1960s","Yes",NA,NA
"The Sound of Music","tt0059742",1965,"172 min","9","Rated on 09 Jul 2021","1960s","Yes",NA,NA
"King Kong","tt0024216",1933,"100 min","8","Rated on 09 Jul 2021","1930s","Yes",NA,NA
"Bonnie and Clyde","tt0061418",1967,"111 min","8","Rated on 17 Sep 2021","1960s","Yes",NA,NA
"Midnight Cowboy","tt0064665",1969,"113 min",NA,NA,"1960s","No",NA,NA
"The Philadelphia Story","tt0032904",1940,"112 min","8","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"Shane","tt0046303",1953,"118 min",NA,NA,"1950s","No",NA,NA
"It Happened One Night","tt0025316",1934,"105 min",NA,NA,"1930s","No",NA,NA
"A Streetcar Named Desire","tt0044081",1951,"122 min","9","Rated on 09 Jul 2021","1950s","Yes",NA,NA
"Rear Window","tt0047396",1954,"112 min","9","Rated on 09 Jul 2021","1950s","Yes",NA,NA
"Intolerance","tt0006864",1916,"197 min",NA,NA,"1910s","No",NA,NA
"The Lord of the Rings: The Fellowship of the Ring","tt0120737",2001,"178 min","7","Rated on 09 Jul 2021","2000s","Yes",NA,NA
"West Side Story","tt0055614",1961,"153 min","8","Rated on 29 Dec 2021","1960s","Yes",NA,NA
"Taxi Driver","tt0075314",1976,"114 min","9","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"The Deer Hunter","tt0077416",1978,"183 min",NA,NA,"1970s","No",NA,NA
"MASH","tt0066026",1970,"116 min",NA,NA,"1970s","No",NA,NA
"North by Northwest","tt0053125",1959,"136 min","8","Rated on 09 Jul 2021","1950s","Yes",NA,NA
"Jaws","tt0073195",1975,"124 min","9","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"Rocky","tt0075148",1976,"120 min","8","Rated on 09 Jul 2021","1970s","Yes",NA,NA
"The Gold Rush","tt0015864",1925,"95 min",NA,NA,"1920s","No","Prime","Feature Film"
"Nashville","tt0073440",1975,"160 min",NA,NA,"1970s","No",NA,NA
