"ItemTitle","IMDBid","ItemYear","ItemRuntime","Rating","Rated.Date","Decade","Seen","Service","Type"
"The Ballad of Narayama","tt0051980",1958,"98 min",NA,NA,"1950s","No",NA,NA
"Veronika Voss","tt0084654",1982,"104 min",NA,NA,"1980s","No",NA,NA
"Monsieur Hire","tt0097904",1989,"81 min",NA,NA,"1980s","No",NA,NA
"The Spirit of the Beehive","tt0070040",1973,"98 min",NA,NA,"1970s","No",NA,NA
"Mulholland Drive","tt0166924",2001,"147 min","7","Rated on 09 Jul 2021","2000s","Yes",NA,NA
"The Life of Oharu","tt0045112",1952,"133 min",NA,NA,"1950s","No",NA,NA
"Cléo from 5 to 7","tt0055852",1962,"90 min",NA,NA,"1960s","No",NA,NA
"Spirited Away","tt0245429",2001,"125 min","8","Rated on 09 Jul 2021","2000s","Yes",NA,NA
"The Pledge","tt0237572",2001,"124 min",NA,NA,"2000s","No",NA,NA
"French Cancan","tt0046998",1955,"102 min",NA,NA,"1950s","No",NA,NA
"The Collector","tt0061495",1967,"89 min",NA,NA,"1960s","No",NA,NA
"La Cérémonie","tt0112769",1995,"112 min",NA,NA,"1990s","No",NA,NA
"Diary of a Lost Girl","tt0020475",1929,"79 min",NA,NA,"1920s","No",NA,NA
"Hara-Kiri","tt0056058",1962,"133 min",NA,NA,"1960s","No",NA,NA
"Smiles of a Summer Night","tt0048641",1955,"109 min",NA,NA,"1950s","No",NA,NA
"Ivan the Terrible, Part I","tt0037824",1944,"95 min",NA,NA,"1940s","No",NA,NA
"Ivan the Terrible, Part II: The Boyars' Plot","tt0051790",1958,"88 min",NA,NA,"1950s","No",NA,NA
"The Killing","tt0049406",1956,"84 min",NA,NA,"1950s","No","Prime","Feature Film"
"The Man Who Shot Liberty Valance","tt0056217",1962,"123 min",NA,NA,"1960s","No",NA,NA
"Contact","tt0118884",1997,"150 min","9","Rated on 14 Jul 2021","1990s","Yes",NA,NA
"Departures","tt1069238",2008,"130 min",NA,NA,"2000s","No",NA,NA
"A Man Escaped","tt0049902",1956,"101 min",NA,NA,"1950s","No",NA,NA
"Shadow of a Doubt","tt0036342",1943,"108 min","7","Rated on 09 Jul 2021","1940s","Yes",NA,NA
"Nosferatu the Vampyre","tt0079641",1979,"107 min",NA,NA,"1970s","No","Prime","Feature Film"
"The Match Factory Girl","tt0098532",1990,"69 min",NA,NA,"1990s","No",NA,NA
"Stagecoach","tt0031971",1939,"96 min",NA,NA,"1930s","No","Prime","Feature Film"
"Se7en","tt0114369",1995,"127 min","6","Rated on 09 Jul 2021","1990s","Yes",NA,NA
"A.I. Artificial Intelligence","tt0212720",2001,"146 min","4","Rated on 09 Jul 2021","2000s","Yes",NA,NA
"Badlands","tt0069762",1973,"94 min",NA,NA,"1970s","No",NA,NA
"An Autumn Afternoon","tt0056444",1962,"113 min",NA,NA,"1960s","No",NA,NA
"Pale Flower","tt0056327",1964,"96 min",NA,NA,"1960s","No",NA,NA
"Diary of a Country Priest","tt0042619",1951,"95 min",NA,NA,"1950s","No",NA,NA
"Heart of Glass","tt0074626",1976,"94 min",NA,NA,"1970s","No",NA,NA
"Senso","tt0047469",1954,"123 min",NA,NA,"1950s","No",NA,NA
"Shoah","tt0090015",1985,"566 min",NA,NA,"1980s","No",NA,NA
"Superman","tt0078346",1978,"143 min","6","Rated on 14 Jul 2021","1970s","Yes",NA,NA
"Red Beard","tt0058888",1965,"185 min",NA,NA,"1960s","No",NA,NA
"The Circus","tt0018773",1928,"72 min",NA,NA,"1920s","No",NA,NA
"Lost in Translation","tt0335266",2003,"102 min","6","Rated on 09 Jul 2021","2000s","Yes",NA,NA
"Mystery Train","tt0097940",1989,"110 min",NA,NA,"1980s","No",NA,NA
"The Only Son","tt0027752",1936,"87 min",NA,NA,"1930s","No",NA,NA
"Come and See","tt0091251",1985,"142 min",NA,NA,"1980s","No",NA,NA
"Metropolis","tt0017136",1927,"153 min","10","Rated on 11 Jul 2021","1920s","Yes",NA,NA
