"ItemTitle","IMDBid","ItemYear","ItemRuntime","Rating","Rated.Date","Seen","Service","Type"
"À Nous la Liberté","tt0022599",1931,"97 min",NA,NA,"No",NA,NA
"About Schmidt","tt0257360",2002,"125 min","4","Rated on 09 Jul 2021","Yes",NA,NA
"Absence of Malice","tt0081974",1981,"116 min",NA,NA,"No",NA,NA
"Adam's Rib","tt0041090",1949,"101 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"Adaptation.","tt0268126",2002,"115 min","5","Rated on 09 Jul 2021","Yes",NA,NA
"The Adjuster","tt0101273",1991,"102 min",NA,NA,"No",NA,NA
"The Adventures of Robin Hood","tt0029843",1938,"102 min",NA,NA,"No",NA,NA
"Affliction","tt0118564",1997,"114 min",NA,NA,"No","Prime","Feature Film"
"The African Queen","tt0043265",1951,"105 min","8","Rated on 09 Jul 2021","Yes","Prime","Feature Film"
"L'Age d'Or","tt0021577",1930,"63 min",NA,NA,"No",NA,NA
"Aguirre, the Wrath of God","tt0068182",1972,"95 min",NA,NA,"No","Prime","Feature Film"
"A.I. Artificial Intelligence","tt0212720",2001,"146 min","4","Rated on 09 Jul 2021","Yes",NA,NA
"Airplane!","tt0080339",1980,"88 min",NA,NA,"No",NA,NA
"Aladdin","tt0103639",1992,"90 min","6","Rated on 09 Jul 2021","Yes",NA,NA
"Alexander Nevsky","tt0029850",1938,"112 min",NA,NA,"No",NA,NA
"Alice Doesn't Live Here Anymore","tt0071115",1974,"112 min","7","Rated on 11 Nov 2021","Yes",NA,NA
"Alice's Restaurant","tt0064002",1969,"111 min",NA,NA,"No",NA,NA
"Aliens","tt0090605",1986,"137 min","7","Rated on 09 Jul 2021","Yes",NA,NA
"All About Eve","tt0042192",1950,"138 min",NA,NA,"No",NA,NA
"All About My Mother","tt0185125",1999,"101 min",NA,NA,"No",NA,NA
"All Quiet on the Western Front","tt0020629",1930,"152 min",NA,NA,"No",NA,NA
"All That Heaven Allows","tt0047811",1955,"89 min",NA,NA,"No",NA,NA
"All the King's Men","tt0041113",1949,"110 min",NA,NA,"No",NA,NA
