"AwardCeremony","Winner.Y","Winner.N","Nominee.Y","Nominee.N"
"01-1929",5,7,1,13
"02-1930",NA,8,NA,20
"03-1930",NA,7,NA,20
"04-1931",NA,7,2,14
"05-1932",4,8,2,15
"06-1934",2,9,1,18
"07-1935",NA,12,1,20
"08-1936",2,14,4,29
"09-1937",4,11,1,38
"10-1938",2,15,2,40
"11-1939",2,12,NA,44
"12-1940",6,7,4,35
"13-1941",4,14,1,52
"14-1942",6,13,7,75
"15-1943",3,18,4,73
"16-1944",3,17,1,65
"17-1945",2,13,2,70
"18-1946",3,19,1,63
"19-1947",4,12,3,38
"20-1948",4,15,3,40
"21-1949",4,15,3,32
"22-1950",NA,20,NA,42
"23-1951",3,16,4,34
"24-1952",4,11,4,38
"25-1953",2,16,1,44
"26-1954",3,15,1,49
"27-1955",5,13,4,34
"28-1956",3,16,3,35
"29-1957",4,16,2,39
"30-1958",3,10,3,32
"31-1959",4,11,3,37
"32-1960",5,9,4,33
"33-1961",4,14,4,35
"34-1962",4,11,1,40
"35-1963",6,11,1,38
"36-1964",6,11,4,37
"37-1965",5,10,4,40
"38-1966",5,12,4,36
"39-1967",1,12,NA,40
"40-1968",7,9,4,29
"41-1969",6,12,2,34
"42-1970",2,13,NA,31
"43-1971",NA,16,1,33
"44-1972",3,12,6,29
"45-1973",4,10,1,35
"46-1974",4,11,4,29
"47-1975",7,8,2,34
"48-1976",3,11,2,40
"49-1977",6,8,3,35
"50-1978",3,11,4,33
"51-1979",2,14,3,31
"52-1980",4,11,4,37
"53-1981",4,10,1,35
"54-1982",6,7,2,29
"55-1983",5,10,6,28
"56-1984",4,9,5,30
"57-1985",4,10,9,31
"58-1986",7,10,3,30
"59-1987",6,12,6,30
"60-1988",5,9,6,37
"61-1989",7,11,7,30
"62-1990",7,10,4,32
"63-1991",5,10,6,33
"64-1992",8,7,4,28
"65-1993",5,12,5,36
"66-1994",6,8,5,33
"67-1995",4,14,4,36
"68-1996",7,11,10,31
"69-1997",9,8,15,35
"70-1998",7,6,11,35
"71-1999",7,7,12,29
"72-2000",9,7,16,28
"73-2001",8,7,8,31
"74-2002",10,8,13,21
"75-2003",10,7,12,25
"76-2004",8,6,12,25
"77-2005",10,7,12,27
"78-2006",10,8,13,25
"79-2007",13,5,11,31
"80-2008",13,6,9,32
"81-2009",8,7,6,31
"82-2010",7,9,10,34
"83-2011",7,8,14,29
"84-2012",11,6,9,37
"85-2013",10,7,10,28
"86-2014",8,6,12,34
"87-2015",12,6,14,30
"88-2016",12,6,11,30
"89-2017",10,7,13,34
"90-2018",11,6,8,36
"91-2019",9,8,12,25
"92-2020",13,5,14,23
"93-2021",16,NA,17,24
"94-2022",16,NA,38,NA
