"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Prime","Amazon.Type"
"Best Animated Feature","Winner","Aron Warner","74-2002","tt0126029","Shrek","nm0912403","Aron Warner",NA,NA,"Shrek",2001,"PG","18 May 2001","90 min","Animation, Adventure, Comedy","Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott, Terry Rossio","Mike Myers, Eddie Murphy, Cameron Diaz","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","English","United States","Won 1 Oscar. 40 wins & 60 nominations total","https://m.media-amazon.com/images/M/MV5BOGZhM2FhNTItODAzNi00YjA0LWEyN2UtNjJlYWQzYzU1MDg5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","84","7.9","649,044","tt0126029","movie",NA,NA,NA,NA,"7.9/10","84/100","88%",7,2021-07-09,NA,NA
"Best Animated Feature",NA,"John A. Davis, Steve Oedekerk","74-2002","tt0268397","Jimmy Neutron: Boy Genius","nm0204884","John A. Davis",NA,NA,"Jimmy Neutron: Boy Genius",2001,"G","21 Dec 2001","82 min","Animation, Action, Adventure","John A. Davis","John A. Davis, Steve Oedekerk, David N. Weiss","Debi Derryberry, Rob Paulsen, Megan Cavanagh","An eight-year-old boy genius and his friends must rescue their parents after the adults are abducted by aliens.","English","United States","Nominated for 1 Oscar. 6 nominations total","https://m.media-amazon.com/images/M/MV5BMzczYzM4MmMtMTEyYi00ZGRmLWE2OTMtZmNhYTdiYjQ4NDUxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg","65","6.0","33,326","tt0268397","movie",NA,NA,NA,NA,"6.0/10","65/100","74%",NA,NA,NA,NA
"Best Animated Feature",NA,"John A. Davis, Steve Oedekerk","74-2002","tt0268397","Jimmy Neutron: Boy Genius","nm0644203","Steve Oedekerk",NA,NA,"Jimmy Neutron: Boy Genius",2001,"G","21 Dec 2001","82 min","Animation, Action, Adventure","John A. Davis","John A. Davis, Steve Oedekerk, David N. Weiss","Debi Derryberry, Rob Paulsen, Megan Cavanagh","An eight-year-old boy genius and his friends must rescue their parents after the adults are abducted by aliens.","English","United States","Nominated for 1 Oscar. 6 nominations total","https://m.media-amazon.com/images/M/MV5BMzczYzM4MmMtMTEyYi00ZGRmLWE2OTMtZmNhYTdiYjQ4NDUxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg","65","6.0","33,326","tt0268397","movie",NA,NA,NA,NA,"6.0/10","65/100","74%",NA,NA,NA,NA
"Best Animated Feature",NA,"Pete Docter, John Lasseter","74-2002","tt0198781","Monsters, Inc.","nm0230032","Pete Docter",NA,NA,"Monsters, Inc.",2001,"G","02 Nov 2001","92 min","Animation, Adventure, Comedy","Pete Docter, David Silverman, Lee Unkrich","Pete Docter, Jill Culton, Jeff Pidgeon","Billy Crystal, John Goodman, Mary Gibbs","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","English","United States","Won 1 Oscar. 15 wins & 38 nominations total","https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_SX300.jpg","79","8.1","865,828","tt0198781","movie",NA,NA,NA,NA,"8.1/10","79/100","96%",8,2021-07-09,NA,NA
"Best Animated Feature",NA,"Pete Docter, John Lasseter","74-2002","tt0198781","Monsters, Inc.","nm0005124","John Lasseter",NA,NA,"Monsters, Inc.",2001,"G","02 Nov 2001","92 min","Animation, Adventure, Comedy","Pete Docter, David Silverman, Lee Unkrich","Pete Docter, Jill Culton, Jeff Pidgeon","Billy Crystal, John Goodman, Mary Gibbs","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","English","United States","Won 1 Oscar. 15 wins & 38 nominations total","https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_SX300.jpg","79","8.1","865,828","tt0198781","movie",NA,NA,NA,NA,"8.1/10","79/100","96%",8,2021-07-09,NA,NA
"Best Animated Feature","Winner","Hayao Miyazaki","75-2003","tt0245429","Spirited Away","nm0594503","Hayao Miyazaki",NA,NA,"Spirited Away",2001,"PG","28 Mar 2003","125 min","Animation, Adventure, Family","Hayao Miyazaki","Hayao Miyazaki","Daveigh Chase, Suzanne Pleshette, Miyu Irino","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Japanese, English","Japan","Won 1 Oscar. 58 wins & 31 nominations total","https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","96","8.6","713,885","tt0245429","movie",NA,NA,NA,NA,"8.6/10","96/100","97%",8,2021-07-09,NA,NA
"Best Animated Feature",NA,"Chris Wedge","75-2003","tt0268380","Ice Age","nm0917188","Chris Wedge",NA,NA,"Ice Age",2002,"PG","15 Mar 2002","81 min","Animation, Adventure, Comedy","Chris Wedge, Carlos Saldanha","Michael J. Wilson, Michael Berg, Peter Ackerman","Denis Leary, John Leguizamo, Ray Romano","The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat.","English","United States","Nominated for 1 Oscar. 5 wins & 30 nominations total","https://m.media-amazon.com/images/M/MV5BMmYxZWY2NzgtYzJjZC00MDFmLTgxZTctMjRiYjdjY2FhODg3XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg","61","7.5","465,862","tt0268380","movie",NA,NA,NA,NA,"7.5/10","61/100","77%",6,2021-07-14,NA,NA
"Best Animated Feature",NA,"Chris Sanders","75-2003","tt0275847","Lilo & Stitch","nm0761498","Chris Sanders",NA,NA,"Lilo & Stitch",2002,"PG","21 Jun 2002","85 min","Animation, Adventure, Comedy","Dean DeBlois, Chris Sanders","Chris Sanders, Dean DeBlois","Daveigh Chase, Chris Sanders, Tia Carrere","A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a mena","English, Hawaiian","United States","Nominated for 1 Oscar. 11 wins & 27 nominations total","https://m.media-amazon.com/images/M/MV5BMTkwOTU5MTA2M15BMl5BanBnXkFtZTYwMjYyNTc3._V1_SX300.jpg","73","7.3","181,413","tt0275847","movie",NA,NA,NA,NA,"7.3/10","73/100","86%",8,2021-07-11,NA,NA
"Best Animated Feature",NA,"Jeffrey Katzenberg","75-2003","tt0166813","Spirit: Stallion of the Cimarron","nm0005076","Jeffrey Katzenberg",NA,NA,"Spirit: Stallion of the Cimarron",2002,"G","24 May 2002","83 min","Animation, Adventure, Drama","Kelly Asbury, Lorna Cook","John Fusco, Michael Lucker","Matt Damon, James Cromwell, Daniel Studi","A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.","English","United States","Nominated for 1 Oscar. 10 wins & 22 nominations total","https://m.media-amazon.com/images/M/MV5BMTgyOTUzNDA1N15BMl5BanBnXkFtZTYwNjgwMDM3._V1_SX300.jpg","52","7.2","72,725","tt0166813","movie",NA,NA,NA,NA,"7.2/10","52/100","69%",NA,NA,NA,NA
"Best Animated Feature",NA,"Ron Clements","75-2003","tt0133240","Treasure Planet","nm0166256","Ron Clements",NA,NA,"Treasure Planet",2002,"PG","27 Nov 2002","95 min","Animation, Adventure, Family","Ron Clements, John Musker","Robert Louis Stevenson, Ron Clements, John Musker","Joseph Gordon-Levitt, Emma Thompson, Martin Short","A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders.","English","United States","Nominated for 1 Oscar. 1 win & 14 nominations total","https://m.media-amazon.com/images/M/MV5BNGI0N2EzZDktNDY3OS00NWFmLTgxZjEtMTc1OTNlMzQxNDZkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","60","7.2","111,917","tt0133240","movie",NA,NA,NA,NA,"7.2/10","60/100","69%",6,2021-07-14,NA,NA
