"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Prime","Amazon.Type"
"Best Director, Comedy Picture","Winner","Two Arabian Knights","01-1929","tt0018515","Two Arabian Knights","nm0587277","Lewis Milestone",NA,NA,"Two Arabian Knights",1927,"TV-G","23 Sep 1927","92 min","Adventure, Comedy, Romance","Lewis Milestone","Wallace Smith, Cyril Gardner, Donald McGibney","William Boyd, Mary Astor, Louis Wolheim","Two American soldiers are captured by the Germans on the Western Front during World War One and escape a POW camp only to stumble into further life-threatening adventures when they come across an Arabian king's daughter while on the","English","United States","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTJiNGE2M2MtODUyOS00OTI0LTgzODEtYjc0M2UwZTNjNWQzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","6.7","1,001","tt0018515","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA
"Best Director, Comedy Picture",NA,"Speedy","01-1929","tt0019412","Speedy","nm0928514","Ted Wilde",NA,NA,"Speedy",1928,"Passed","04 May 1928","85 min","Action, Comedy, Family","Ted Wilde","John Grey, Lex Neal, Howard Emmett Rogers","Harold Lloyd, Ann Christy, Bert Woodruff","Harold ""Speedy"" Swift, a fan of Babe Ruth and the New York Yankees, saves from extinction the city's last horse-drawn trolley, operated by his girlfriend's grandfather.","None, English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTg0ODM0NzEwN15BMl5BanBnXkFtZTgwMzgzODYwMjE@._V1_SX300.jpg","N/A","7.7","3,649","tt0019412","movie",NA,NA,NA,NA,"7.7/10",NA,"100%",NA,NA,NA,NA
"Best Director, Dramatic Picture","Winner","7th Heaven","01-1929","tt0018379","7th Heaven","nm0097648","Frank Borzage",NA,NA,"7th Heaven",1927,"Not Rated","30 Oct 1927","110 min","Drama, Romance","Frank Borzage","Austin Strong, Benjamin Glazer, Katherine Hilliker","Janet Gaynor, Charles Farrell, Ben Bard","A street cleaner saves a young woman's life, and the pair slowly fall in love until war intervenes.","None, English","United States","Won 3 Oscars. 6 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTk2MjUzMzk3OV5BMl5BanBnXkFtZTcwOTk1MjQxMw@@._V1_SX300.jpg","N/A","7.7","3,527","tt0018379","movie",NA,NA,NA,NA,"7.7/10",NA,"100%",9,2022-02-07,NA,NA
"Best Director, Dramatic Picture",NA,"Sorrell and Son","01-1929","tt0018429","Sorrell and Son","nm0107543","Herbert Brenon",NA,NA,"Sorrell and Son",1927,"N/A","02 Dec 1927","100 min","Drama","Herbert Brenon","Warwick Deeping, Herbert Brenon, Elizabeth Meehan","H.B. Warner, Anna Q. Nilsson, Mickey McBan","Stephen Sorrell, a decorated war hero, raises his son Kit alone after Kit's mother deserts husband and child in the boy's infancy. Sorrell loses a promising job offer and is forced to take work as a menial. Both his dignity and his h","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BM2Y2NzhmMmYtMDU4OC00ZTE3LTk2MTgtZjE3ZjM5ODQyNjc0XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","6.2","68","tt0018429","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA
"Best Director, Dramatic Picture",NA,"The Crowd","01-1929","tt0018806","The Crowd","nm0896542","King Vidor",NA,NA,"The Crowd",1928,"Not Rated","03 Mar 1928","98 min","Drama, Romance","King Vidor","King Vidor, John V.A. Weaver, Joseph Farnham","Eleanor Boardman, James Murray, Bert Roach","The life of a man and woman together in a large, impersonal metropolis through their hopes, struggles and downfalls.","None","United States","Nominated for 2 Oscars. 3 wins & 3 nominations total","https://m.media-amazon.com/images/M/MV5BNjhhN2QzYzEtNmE3Ny00OWU3LWEwNmUtYTQ1ZmRjNWQ2YzMyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","8.1","8,241","tt0018806","movie",NA,NA,NA,NA,"8.1/10",NA,"96%",NA,NA,NA,NA
"Best Director","Winner","The Divine Lady","02-1930","tt0019824","The Divine Lady","nm0515979","Frank Lloyd",NA,NA,"The Divine Lady",1928,"Not Rated","26 Dec 1928","99 min","Drama, History, Romance","Frank Lloyd","E. Barrington, Forrest Halsey, Harry Carr","Corinne Griffith, Victor Varconi, H.B. Warner","The story of the romance between Emma, Lady Hamilton, and British war hero Admiral Horatio Nelson.","None, English","United States","Won 1 Oscar. 3 nominations total","https://m.media-amazon.com/images/M/MV5BMTc3MDIxODQ3MF5BMl5BanBnXkFtZTgwMTkwMDY0MjE@._V1_SX300.jpg","N/A","6.2","765","tt0019824","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA
"Best Director",NA,"The Patriot","02-1930","tt0019257","The Patriot","nm0523932","Ernst Lubitsch",NA,NA,"The Patriot",1928,"N/A","01 Sep 1928","113 min","Drama, History, Thriller","Ernst Lubitsch","Ashley Dukes, Julian Johnson, Hanns Kräly","Emil Jannings, Lewis Stone, Florence Vidor","Paul I, the Emperor of All Russia, becomes the target of a deadly conspiracy.","English","United States","Won 1 Oscar. 5 nominations total","https://m.media-amazon.com/images/M/MV5BYjgwNDU1MWMtOTg0NC00NTIwLTg5NGYtYThmYWRjYzFjYTk1XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","N/A","N/A","tt0019257","movie",NA,NA,NA,NA,NA,NA,"100%",NA,NA,NA,NA
"Best Director",NA,"Drag","02-1930","tt0019833","Drag","nm0515979","Frank Lloyd",NA,NA,"Drag",1929,"N/A","10 Jan 1930","85 min","Drama","Frank Lloyd","Bradley King, William Dudley Pelley","Richard Barthelmess, Lucien Littlefield, Kathrin Clare Ward","A writer is torn between his wife, and a more sophisticated woman that he lusts after.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BM2E2ZTQ3YjQtNzYxNC00OGJmLTgwYzctNTk4ZTJmNmQwOTgzXkEyXkFqcGdeQXVyMjk2NjgyMjE@._V1_SX300.jpg","N/A","6.7","56","tt0019833","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA
"Best Director",NA,"Weary River","02-1930","tt0019557","Weary River","nm0515979","Frank Lloyd",NA,NA,"Weary River",1929,"Passed","10 Feb 1929","86 min","Drama","Frank Lloyd","Courtney Ryley Cooper, Bradley King, Paul Perez","Richard Barthelmess, Betty Compson, William Holden","A gangster is put in prison, but finds salvation through music while serving his time. Again on the outside, he finds success elusive and temptations abound.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTY3MjAwMDE5MF5BMl5BanBnXkFtZTgwMzE4MDI0MjE@._V1_SX300.jpg","N/A","6.1","482","tt0019557","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA
"Best Director",NA,"The Broadway Melody","02-1930","tt0019729","The Broadway Melody","nm0064600","Harry Beaumont",NA,NA,"The Broadway Melody",1929,"Passed","06 Jun 1929","100 min","Drama, Musical, Romance","Harry Beaumont","Edmund Goulding, Norman Houston, James Gleason","Bessie Love, Anita Page, Charles King","A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.","English","United States","Won 1 Oscar. 3 nominations total","https://m.media-amazon.com/images/M/MV5BZmJlOWM4NDEtYmZmYS00MTIyLTgwYWMtMjFhYmNhZWU4ZmVmXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","5.7","7,037","tt0019729","movie",NA,NA,NA,NA,"5.7/10",NA,"38%",NA,NA,NA,NA
"Best Director",NA,"In Old Arizona","02-1930","tt0020018","In Old Arizona","nm0191899","Irving Cummings",NA,NA,"In Old Arizona",1928,"Passed","20 Jan 1929","95 min","Western","Irving Cummings","O. Henry, Tom Barry, Paul Gerard Smith","Edmund Lowe, Warner Baxter, Dorothy Burgess","A charming, happy-go-lucky bandit in old Arizona plays cat-and-mouse with the sheriff trying to catch him while he romances a local beauty.","English, Spanish, Italian","United States","Won 1 Oscar. 2 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BMjE0ODAxNzQ0M15BMl5BanBnXkFtZTgwNTk4ODQwMjE@._V1_SX300.jpg","N/A","5.6","1,064","tt0020018","movie",NA,NA,NA,NA,"5.6/10",NA,"56%",NA,NA,NA,NA
"Best Director",NA,"Madame X","02-1930","tt0020126","Madame X","nm0000859","Lionel Barrymore",NA,NA,"Madame X",1929,"Passed","17 Aug 1929","95 min","Drama","Lionel Barrymore","Alexandre Bisson, Willard Mack","Lewis Stone, Ruth Chatterton, Raymond Hackett","A young lawyer unknowingly defends his mother who abandoned him when he was three.","English","United States","Nominated for 2 Oscars. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTY0NjIyMTA0NF5BMl5BanBnXkFtZTgwODg5MDgxMjE@._V1_SX300.jpg","N/A","5.9","492","tt0020126","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA
