"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Prime","Amazon.Type"
"Best Documentary","Winner",NA,"14-1942","tt0033466","Churchill's Island",NA,NA,NA,NA,"Churchill's Island",1941,"TV-PG","20 Apr 2004","21 min","Documentary, War, Short","Stuart Legg","N/A","Lorne Greene, Gérard Arthur, Winston Churchill","The people of Britain resist the German air force and navy with help from North America.","English, German","Canada","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BODNhMzgxODMtZjZmMi00ZTQ0LWE5YzYtNTg5ZDQ1NGJlNDQzXkEyXkFqcGdeQXVyMTMyODYyMzE@._V1_SX300.jpg","N/A","6.4","195","tt0033466","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,"Prime","Short Films"
"Best Documentary",NA,NA,"14-1942","tt0033828","A Letter from Home",NA,NA,NA,NA,"A Letter from Home",1941,"N/A","01 Dec 1941","17 min","Short, Drama","Carol Reed","Rodney Ackland (script), Arthur Boys (script)","Joyce Grenfell, Kathleen Harrison, Celia Johnson, Edie Martin","N/A","English","UK","Nominated for 1 Oscar. Another 1 nomination.","N/A","N/A","7.3","23","tt0033828","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"14-1942","tt1847530","A Place to Live",NA,NA,NA,NA,"A Place to Live",1941,"N/A","N/A","17 min","Documentary, Short","Irving Lerner","David Forrest, Muriel Rukeyser","Frieda N. Blank, William Kesselring, Bill Watts","Inner city squalor in Philadelphia, Pennsylvania is the subject of this documentary, which focuses on a child returning from school to his home, a cramped and squalid apartment in a rat-infested slum neighborhood.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMGZmMDFhY2ItYzQ4MC00YzczLWI0M2YtOWNhOTkzNDMxOTI4XkEyXkFqcGdeQXVyMjA1MjQzNDY@._V1_SX300.jpg","N/A","5.8","39","tt1847530","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"14-1942","tt0033316","Adventure in the Bronx",NA,NA,NA,NA,"Adventure in the Bronx",1941,"N/A","N/A","12 min","Documentary, Short","Joseph Krumgold","Joseph Krumgold","John Kieran, Michael O'Connell","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","5.0","15","tt0033316","movie",NA,NA,NA,NA,"5.0/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"14-1942","tt0033423","Bomber",NA,NA,NA,NA,"Bomber",1941,"Not Rated","03 Oct 1941","10 min","Documentary, Short","N/A","Carl Sandburg","N/A","Documentary short demonstrating the process of building a medium bomber for the United States Army Air Corps.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTA4Njc0OWMtNDg5NS00YTUyLTg1M2MtNjFjZGFlOGMyM2NhXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg","N/A","5.2","49","tt0033423","movie",NA,NA,NA,NA,"5.2/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"14-1942","tt0033465","Christmas Under Fire",NA,NA,NA,NA,"Christmas Under Fire",1940,"N/A","N/A","10 min","Documentary, Short, War","Charles Hasse, Harry Watt","Quentin Reynolds","Quentin Reynolds","How Britain coped with a Christmas during the war.","English","United Kingdom","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BODMxOGZjNTUtYjNmNi00Y2I5LTljZDgtYTUwYzVjMTFmYjE1XkEyXkFqcGdeQXVyMTE5ODAzNg@@._V1_SX300.jpg","N/A","6.9","110","tt0033465","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"14-1942","tt0033833","Life of a Thoroughbred",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"14-1942","tt0033961","Norway in Revolt",NA,NA,NA,NA,"Norway in Revolt",1941,"N/A","26 Sep 1941","20 min","Documentary, Short","N/A","N/A","N/A","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","4.3","13","tt0033961","movie",NA,NA,NA,NA,"4.3/10",NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"14-1942","tt1847681","Russian Soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Best Documentary",NA,NA,"14-1942","tt0034213","Soldiers of the Sky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
