"Album","Artist","Jacket"
"Die Schönsten Deutschen Weihnachtslieder","Various","https://i.discogs.com/0t1AAFEfB17MBO8s6U6wrjQMgjMsdhajEfWMpF3VTTY/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTQ1/ODYzMDktMTQ4MDYz/NTMyNi04MDQxLmpw/ZWc.jpeg"
"Beggars Banquet","Rolling Stones","https://i.discogs.com/zQ-YpFJb1LBF9ozNgDbPQ_ej3Uu39fR2nkbCsbwNisc/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTY5/NjkxOTUtMTQzMDY1/NzExNi03MTI1Lmpw/ZWc.jpeg"
"The Firebird (Suite, 1919 Version) / Overtures And Polovetsian Dances From Prince Igor","Igor Stravinsky","https://i.discogs.com/OuymmY0JSruzXNcarUkJRaDxJVD9Xi53e43LSUXY_54/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgz/NTM2NjctMTQ1OTk1/NTE1My01MDE0Lmpw/ZWc.jpeg"
"The Firebird (Suite, 1919 Version) / Overtures And Polovetsian Dances From Prince Igor","Alexander Borodin","https://i.discogs.com/OuymmY0JSruzXNcarUkJRaDxJVD9Xi53e43LSUXY_54/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgz/NTM2NjctMTQ1OTk1/NTE1My01MDE0Lmpw/ZWc.jpeg"
"The Firebird (Suite, 1919 Version) / Overtures And Polovetsian Dances From Prince Igor","Robert Shaw","https://i.discogs.com/OuymmY0JSruzXNcarUkJRaDxJVD9Xi53e43LSUXY_54/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgz/NTM2NjctMTQ1OTk1/NTE1My01MDE0Lmpw/ZWc.jpeg"
"The Firebird (Suite, 1919 Version) / Overtures And Polovetsian Dances From Prince Igor","Atlanta Symphony Orchestra","https://i.discogs.com/OuymmY0JSruzXNcarUkJRaDxJVD9Xi53e43LSUXY_54/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgz/NTM2NjctMTQ1OTk1/NTE1My01MDE0Lmpw/ZWc.jpeg"
"The Firebird (Suite, 1919 Version) / Overtures And Polovetsian Dances From Prince Igor","Chorus","https://i.discogs.com/OuymmY0JSruzXNcarUkJRaDxJVD9Xi53e43LSUXY_54/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTgz/NTM2NjctMTQ1OTk1/NTE1My01MDE0Lmpw/ZWc.jpeg"
"Swingin' My Way Through College","Maynard Ferguson And His Orchestra","https://i.discogs.com/smyBhc70p7012A46IGz_fUQWu2JxH_sSXHIGPYVMmJY/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTMz/NDU4ODUtMTMyNjc1/NzcyMi5qcGVn.jpeg"
"At Last / Perfidia","Glenn Miller And His Orchestra","https://i.discogs.com/8KZGIUGcZhcZuwJRx7T6e24S9vOG0NTXSIKM8E6ztFU/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEx/OTA5NjEwLTE1MjQ2/MTcyMTUtNzcyMi5q/cGVn.jpeg"
"Glenn Miller And His Orchestra Volume One","Glenn Miller And His Orchestra","https://i.discogs.com/f-sJh3ZsCLXomeLOp5Nob29e9_8SRP-hV03pJviSaYI/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTE3/OTcxOTQtMTMzOTMy/MzQzMC01NDMwLmpw/ZWc.jpeg"
"Glenn Miller Concert (Volume I)","Glenn Miller And His Orchestra","https://i.discogs.com/IiwaGXNQbGaOMTJM1dS7_w7OYp4r3SD6sCPgAhV8pn8/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEz/MDUwMDEzLTE1NjA3/NjYzNzYtNjEzOC5q/cGVn.jpeg"
"Peter And The Wolf / Young Person's Guide To The Orchestra","David Bowie","https://i.discogs.com/3nhxhH2NXDePkhZFKyyY1Ezmqxvhqk95fKtEhbliIBw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NDYzMTAtMTM2MDY5/MjU3MC0yNDE1Lmpw/ZWc.jpeg"
"Peter And The Wolf / Young Person's Guide To The Orchestra","Prokofiev","https://i.discogs.com/3nhxhH2NXDePkhZFKyyY1Ezmqxvhqk95fKtEhbliIBw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NDYzMTAtMTM2MDY5/MjU3MC0yNDE1Lmpw/ZWc.jpeg"
"Peter And The Wolf / Young Person's Guide To The Orchestra","Eugene Ormandy","https://i.discogs.com/3nhxhH2NXDePkhZFKyyY1Ezmqxvhqk95fKtEhbliIBw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NDYzMTAtMTM2MDY5/MjU3MC0yNDE1Lmpw/ZWc.jpeg"
"Peter And The Wolf / Young Person's Guide To The Orchestra","The Philadelphia Orchestra","https://i.discogs.com/3nhxhH2NXDePkhZFKyyY1Ezmqxvhqk95fKtEhbliIBw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NDYzMTAtMTM2MDY5/MjU3MC0yNDE1Lmpw/ZWc.jpeg"
"Peter And The Wolf / Young Person's Guide To The Orchestra","Britten","https://i.discogs.com/3nhxhH2NXDePkhZFKyyY1Ezmqxvhqk95fKtEhbliIBw/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTEw/NDYzMTAtMTM2MDY5/MjU3MC0yNDE1Lmpw/ZWc.jpeg"
"Waltzes","Rubinstein","https://i.discogs.com/DqRwRyp0Yh9IQ1b9b2f4MGJCY5UQnAX7AfXkHyZF-NA/rs:fill/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWltYWdlcy9SLTI4/MjM3NzMtMTMwMjY2/NDI2Mi5qcGVn.jpeg"
