"Position","Const","Created","Modified","Description","Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors"
1,"tt10187208","2021-12-07","2021-12-07",NA,"A Boy Called Christmas","https://www.imdb.com/title/tt10187208/","movie",6.7,106,2021,"Adventure, Drama, Family, Fantasy",20878,"2021-11-18","Gil Kenan"
2,"tt11457736","2021-12-07","2021-12-07",NA,"My Dad's Christmas Date","https://www.imdb.com/title/tt11457736/","movie",5.5,91,2020,"Comedy",1728,"2020-11-06","Mick Davis"
3,"tt13070602","2021-12-07","2021-12-07",NA,"A Castle for Christmas","https://www.imdb.com/title/tt13070602/","movie",5.5,98,2021,"Adventure, Comedy, Drama, Family, Romance",11766,"2021-11-26","Mary Lambert"
4,"tt11540284","2021-12-07","2021-12-07",NA,"8-Bit Christmas","https://www.imdb.com/title/tt11540284/","movie",6.7,97,2021,"Comedy, Family",15650,"2021-11-24","Michael Dowse"
5,"tt0097958","2021-12-07","2021-12-07",NA,"National Lampoon's Christmas Vacation","https://www.imdb.com/title/tt0097958/","movie",7.5,97,1989,"Comedy",185087,"1989-11-30","Jeremiah S. Chechik"
6,"tt0938666","2021-12-07","2021-12-07",NA,"Holiday in Handcuffs","https://www.imdb.com/title/tt0938666/","tvMovie",6.1,86,2006,"Comedy, Crime, Drama, Family, Mystery, Romance, Thriller",6607,"2006-02-04","Ron Underwood"
7,"tt14731142","2021-12-07","2021-12-07",NA,"The Princess Switch 3: Romancing the Star","https://www.imdb.com/title/tt14731142/","movie",5.5,106,2021,"Comedy, Drama, Family, Romance",5643,"2021-11-18","Mike Rohl"
8,"tt4537842","2021-12-07","2021-12-07",NA,"A Very Murray Christmas","https://www.imdb.com/title/tt4537842/","tvSpecial",5.5,56,2015,"Comedy, Music, Musical",15436,"2015-12-04","Sofia Coppola"
9,"tt8741182","2021-12-07","2021-12-07",NA,"Dance Dreams: Hot Chocolate Nutcracker","https://www.imdb.com/title/tt8741182/","movie",7,80,2020,"Documentary, Family",340,"2020-11-27","Oliver Bokelberg"
10,"tt9315418","2021-12-07","2021-12-07",NA,"Free Rein: The Twelve Neighs of Christmas","https://www.imdb.com/title/tt9315418/","tvMovie",6.6,56,2018,"Adventure, Comedy, Drama, Family",5636,"2018-12-07","Marek Losey"
11,"tt8244578","2021-12-07","2021-12-07",NA,"Christmas Break-In","https://www.imdb.com/title/tt8244578/","tvMovie",4.4,87,2018,"Family",1576,"2018-11-01","Michael Kampa"
12,"tt0101301","2021-12-07","2021-12-07",NA,"All I Want for Christmas","https://www.imdb.com/title/tt0101301/","movie",5.9,92,1991,"Comedy, Family, Romance",4998,"1991-11-08","Robert Lieberman"
13,"tt3530002","2021-12-07","2021-12-07",NA,"The Night Before","https://www.imdb.com/title/tt3530002/","movie",6.3,101,2015,"Comedy, Fantasy",73871,"2015-11-20","Jonathan Levine"
14,"tt0251282","2021-12-07","2021-12-07",NA,"A Muppet Family Christmas","https://www.imdb.com/title/tt0251282/","tvMovie",8.1,47,1987,"Comedy, Family, Musical",4003,"1987-12-16","Eric Till, Peter Harris"
15,"tt0252028","2021-12-07","2021-12-07",NA,"Surviving Christmas","https://www.imdb.com/title/tt0252028/","movie",5.4,91,2004,"Comedy, Romance",24666,"2004-10-14","Mike Mitchell"
16,"tt1430607","2021-12-07","2021-12-07",NA,"Arthur Christmas","https://www.imdb.com/title/tt1430607/","movie",7.1,97,2011,"Animation, Adventure, Comedy, Drama, Family, Fantasy",58382,"2011-11-11","Barry Cook, Sarah Smith"
17,"tt12459520","2021-12-07","2021-12-07",NA,"De Familie Claus","https://www.imdb.com/title/tt12459520/","movie",5.5,96,2020,"Comedy, Family, Fantasy",2006,"2020-11-07","Matthias Temmermans"
18,"tt10752004","2021-12-07","2021-12-07",NA,"Love Hard","https://www.imdb.com/title/tt10752004/","movie",6.3,104,2021,"Comedy, Romance",48958,"2021-11-05","Hernan Jimenez"
19,"tt12536294","2021-12-07","2021-12-07",NA,"Spencer","https://www.imdb.com/title/tt12536294/","movie",6.6,117,2021,"Biography, Drama",58140,"2021-09-03","Pablo Larraín"
20,"tt1758589","2021-12-07","2021-12-07",NA,"Dash & Lily","https://www.imdb.com/title/tt1758589/","tvSeries",7.4,NA,2020,"Comedy, Drama, Romance",17429,"2020-11-10",""
21,"tt2402927","2021-12-07","2021-12-07",NA,"Carol","https://www.imdb.com/title/tt2402927/","movie",7.2,118,2015,"Drama, Romance",127094,"2015-05-17","Todd Haynes"
22,"tt13017992","2021-12-07","2021-12-07",NA,"Mariah Carey's Magical Christmas Special","https://www.imdb.com/title/tt13017992/","tvSpecial",5.7,43,2020,"Adventure, Family, Fantasy, Music, Musical",1361,"2020-12-04","Roman Coppola, Hamish Hamilton"
23,"tt10069398","2021-12-07","2021-12-07",NA,"Home for Christmas","https://www.imdb.com/title/tt10069398/","tvSeries",7.7,29,2019,"Comedy, Drama, Romance",13711,"2019-12-05",""
24,"tt13055780","2021-12-07","2021-12-07",NA,"A California Christmas","https://www.imdb.com/title/tt13055780/","movie",5.8,106,2020,"Comedy, Drama, Romance",9753,"2020-12-14","Shaun Paul Piccinino"
25,"tt0452681","2021-12-07","2021-12-07",NA,"The Santa Clause 3: The Escape Clause","https://www.imdb.com/title/tt0452681/","movie",4.7,97,2006,"Adventure, Comedy, Family, Fantasy",37150,"2006-11-02","Michael Lembeck"
26,"tt0304669","2021-12-07","2021-12-07",NA,"The Santa Clause 2","https://www.imdb.com/title/tt0304669/","movie",5.7,104,2002,"Comedy, Family, Fantasy",56544,"2002-10-27","Michael Lembeck"
27,"tt0155753","2021-12-07","2021-12-07",NA,"I'll Be Home for Christmas","https://www.imdb.com/title/tt0155753/","movie",5.5,86,1998,"Comedy, Family",10582,"1998-11-13","Arlene Sanford"
28,"tt1327788","2021-12-07","2021-12-07",NA,"The Most Wonderful Time of the Year","https://www.imdb.com/title/tt1327788/","tvMovie",7.2,88,2008,"Comedy, Drama, Family, Romance",4178,"2008-12-13","Michael M. Scott"
29,"tt0790604","2021-12-07","2021-12-07",NA,"Deck the Halls","https://www.imdb.com/title/tt0790604/","movie",5,93,2006,"Comedy, Family",27853,"2006-11-22","John Whitesell"
30,"tt0388419","2021-12-07","2021-12-07",NA,"Christmas with the Kranks","https://www.imdb.com/title/tt0388419/","movie",5.4,99,2004,"Comedy, Family",49164,"2004-11-15","Joe Roth"
31,"tt0383534","2021-12-07","2021-12-07",NA,"Noel","https://www.imdb.com/title/tt0383534/","movie",6.1,96,2004,"Drama",9895,"2004-09-12","Chazz Palminteri"
